Tipo,Producto,Cobertura,Pagos,Edad1,Edad2, SAF ,Crecimiento,SAD,PNU,PA
Individual,Dotal Mixto,49,11,13,1,240866.00,NA,240866,23224.83,2501.45
Vida Conjunta,Ordinario de Vida,58,3,49,48,2173284.00,NA,0,393786.63,49086.75
Vida Conjunta,Ordinario de Vida,69,3,36,42,2400586.00,NA,0,386524.86,104108.60
Vida Conjunta,Dotal Mixto,25,0,31,29,109848.00,NA,109848,22471.30,3323.16
Vida Conjunta,Dotal Mixto,23,14,22,22,1631125.00,NA,1631125,472991.90,40268.40
Vida Conjunta,Dotal Mixto,17,7,16,22,453130.00,NA,453130,165218.18,19029.31
Vida Conjunta,Temporal,22,8,32,41,1407297.00,NA,0,52762.44,4889.35
Vida Conjunta,Temporal,36,36,19,19,2058352.07,Variable,0,135205.14,7767.89
Vida Conjunta,Temporal,41,18,13,19,222968.50,Variable,0,17447.56,1344.45
Vida Conjunta,Temporal,14,0,50,50,3052716.17,Variable,0,224463.53,60531.65
Vida Conjunta,Dotal Mixto,43,9,17,25,2535100.00,Fijo,6794068,709921.28,68715.15
Individual,Ordinario de Vida,76,8,33,1,3137688.75,Variable,0,2845976.19,382457.21
Individual,Dotal Mixto,25,9,27,8,558935.00,NA,558935,115267.22,9775.25
Vida Conjunta,Ordinario de Vida,88,2,21,18,1408803.00,NA,0,91324.07,15071.92
Vida Conjunta,Dotal Mixto,32,3,28,25,660190.00,NA,660190,109441.35,13558.54
Vida Conjunta,Dotal Mixto,34,20,28,31,2498737.00,NA,2498737,357006.33,22784.25
Vida Conjunta,Dotal Mixto,22,22,31,30,2432311.00,NA,2432311,817600.12,58647.03
Vida Conjunta,Dotal Mixto,28,13,26,25,158071.00,NA,158071,36886.76,3267.65
Individual,Temporal,45,0,18,5,706074.70,Variable,0,35543.36,7825.66
Vida Conjunta,Temporal,34,28,27,30,1592334.00,NA,0,54533.79,3166.00
Individual,Dotal Mixto,29,23,32,8,2780133.00,NA,2780133,482992.35,29765.68
Individual,Dotal Mixto,40,8,19,4,2566771.18,Variable,17209562.02,2011132.38,216636.25
Vida Conjunta,Dotal Mixto,23,12,35,37,155974.00,NA,155974,38637.78,3082.68
Ultimo Superviviente,Dotal Mixto,9,0,30,31,2169282.70,Fijo,2836754.3,1364375.43,366448.05
Vida Conjunta,Dotal Mixto,11,7,25,28,2863037.00,NA,2863037,1323690.48,143050.91
Individual,Dotal Mixto,25,20,31,9,137025.00,NA,137025,27102.92,1717.89
Ultimo Superviviente,Dotal Mixto,11,0,43,42,306729.60,Variable,499630.197,207491.76,45643.41
Vida Conjunta,Ordinario de Vida,62,0,44,47,1621742.00,NA,0,262368.22,57937.50
Vida Conjunta,Temporal,18,7,14,19,2131975.00,NA,0,30261.05,3747.22
Vida Conjunta,Dotal Mixto,6,0,26,24,242873.08,Variable,309974.4283,142002.86,23436.27
Vida Conjunta,Ordinario de Vida,59,6,48,47,2575949.00,NA,0,545877.95,81264.50
Individual,Dotal Mixto,32,10,29,7,2359161.00,NA,2359161,373742.05,31706.07
Individual,Temporal,34,10,26,7,1172059.20,Fijo,0,27641.66,2344.16
Vida Conjunta,Dotal Mixto,15,5,29,28,1873468.00,Variable,3709338.494,1784255.24,393490.98
Ultimo Superviviente,Temporal,31,15,29,27,1306612.00,NA,0,27.44,1.94
Ultimo Superviviente,Dotal Mixto,12,11,24,26,1330399.00,NA,1330399,526413.54,42889.37
Vida Conjunta,Dotal Mixto,40,29,19,19,1671832.00,NA,1671832,214150.79,12773.79
Vida Conjunta,Temporal,31,18,20,25,2184549.90,Fijo,0,79233.38,5526.68
Vida Conjunta,Dotal Mixto,34,32,21,24,2168716.00,NA,2168716,341621.66,19622.41
Ultimo Superviviente,Temporal,20,13,20,22,3084929.40,Variable,0,31.32,3.01
Ultimo Superviviente,Dotal Mixto,12,0,47,49,2715679.00,NA,2715679,1127020.08,577254.56
Individual,Dotal Mixto,13,4,20,4,2350294.38,Variable,4220791.024,1841517.14,271794.15
Ultimo Superviviente,Dotal Mixto,26,12,24,26,649901.70,Fijo,1423594.2,381048.73,38633.85
Vida Conjunta,Temporal,35,17,23,28,219512.00,NA,0,7155.09,510.77
Individual,Dotal Mixto,16,0,21,3,2688528.00,NA,2688528,1070867.16,548626.21
Vida Conjunta,Temporal,25,13,29,32,1922195.00,NA,0,57469.96,4576.28
Vida Conjunta,Dotal Mixto,39,16,23,22,1752887.25,Fijo,4219913.75,478258.42,34100.32
Individual,Dotal Mixto,35,33,24,8,2382105.60,Fijo,5274662.4,664951.81,36957.29
Vida Conjunta,Dotal Mixto,38,7,22,26,2571686.00,NA,2571686,397182.77,49214.97
Individual,Dotal Mixto,27,0,23,9,1864850.10,Variable,6630796.557,1144856.19,1144856.19
Individual,Temporal,29,0,18,4,2960823.00,NA,0,31005.19,10848.15
Individual,Dotal Mixto,27,20,23,10,755137.63,Variable,2685022.251,441513.33,27519.49
Individual,Dotal Mixto,17,7,19,7,2342930.00,NA,2342930,734114.92,70826.81
Individual,Dotal Mixto,42,8,20,1,1935683.00,NA,1935683,256005.67,34369.55
Individual,Dotal Mixto,23,1,25,0,2552810.00,Fijo,5360901,1752789.80,1752789.80
Ultimo Superviviente,Temporal,16,11,27,26,2888788.00,Fijo,0,27.95,3.20
Individual,Dotal Mixto,5,2,35,10,2927863.16,Variable,3558835.973,1711860.95,184527.82
Vida Conjunta,Dotal Mixto,39,2,25,26,159556.75,Fijo,423172.25,58121.46,12812.60
Vida Conjunta,Dotal Mixto,37,22,25,25,1486846.00,NA,1486846,201689.14,12856.80
Vida Conjunta,Dotal Mixto,46,12,15,13,1714150.00,NA,1714150,194363.13,18803.83
Ultimo Superviviente,Dotal Mixto,17,4,44,48,1022207.00,NA,1022207,366092.05,53946.62
Ultimo Superviviente,Dotal Mixto,23,0,25,25,979446.00,NA,979446,237822.20,121811.38
Vida Conjunta,Dotal Mixto,43,19,20,20,879081.00,NA,879081,93231.33,6241.73
Individual,Temporal,30,8,30,10,2537143.00,NA,0,41325.91,3381.28
Ultimo Superviviente,Dotal Mixto,33,13,28,27,2533882.00,Fijo,6588093.2,1313652.57,133189.50
Vida Conjunta,Temporal,34,20,24,28,2913023.40,Variable,0,258427.44,19426.00
Vida Conjunta,Dotal Mixto,20,8,36,34,1569954.00,NA,1569954,440968.32,40828.62
Ultimo Superviviente,Ordinario de Vida,61,3,43,45,2228907.00,NA,0,32090.35,6021.37
Vida Conjunta,Dotal Mixto,23,1,27,23,544326.00,NA,544326,120231.68,14890.74
Vida Conjunta,Dotal Mixto,24,16,31,38,2158197.00,Variable,6628953.355,2055425.71,183031.19
Individual,Dotal Mixto,30,0,25,8,2097599.00,NA,2097599,343891.70,92429.16
Vida Conjunta,Dotal Mixto,30,2,21,24,2262554.94,Variable,9312982.933,1688353.33,278682.47
Individual,Dotal Mixto,25,23,29,3,2840652.00,NA,2840652,742775.14,49599.40
Individual,Dotal Mixto,17,10,15,1,1030011.00,NA,1030011,430210.29,49435.51
Ultimo Superviviente,Temporal,8,0,37,38,2600535.00,NA,0,23.26,5.12
Vida Conjunta,Dotal Mixto,38,25,25,25,4249697.66,Variable,25844140.83,2608945.71,155749.23
Vida Conjunta,Dotal Mixto,32,9,22,21,3407215.95,Variable,15462080.54,2421444.76,223583.15
Ultimo Superviviente,Temporal,20,15,38,41,1556102.00,NA,0,48.30,3.26
Vida Conjunta,Temporal,36,36,26,26,968361.00,NA,0,35639.77,2059.12
Individual,Dotal Mixto,38,26,19,4,1664999.00,NA,1664999,227746.55,14199.86
Individual,Temporal,37,15,24,1,2922027.00,NA,0,52021.55,4590.18
Vida Conjunta,Temporal,8,0,47,55,1614555.00,NA,0,68194.66,10141.18
Ultimo Superviviente,Dotal Mixto,40,0,22,29,998473.96,Variable,6694519.453,777855.61,398413.91
Vida Conjunta,Dotal Mixto,20,4,23,29,2118412.00,NA,2118412,644313.99,86689.90
Vida Conjunta,Temporal,38,0,22,20,719666.00,NA,0,21247.86,21247.86
Individual,Ordinario de Vida,61,2,50,5,1361145.00,NA,0,212629.88,35144.14
Individual,Dotal Mixto,47,8,15,2,773311.00,NA,773311,77974.79,9636.17
Individual,Temporal,49,43,11,1,185788.00,NA,0,2524.19,137.24
Vida Conjunta,Dotal Mixto,43,0,22,19,441793.00,NA,441793,55571.15,28477.00
Vida Conjunta,Temporal,24,0,32,38,2424690.00,NA,0,90976.48,46628.93
Ultimo Superviviente,Dotal Mixto,13,12,26,36,446310.00,NA,446310,185411.07,15663.27
Vida Conjunta,Temporal,36,13,20,17,294992.00,Variable,0,20431.65,2083.52
Vida Conjunta,Dotal Mixto,11,11,33,33,1783041.00,NA,1783041,826179.51,73310.70
Vida Conjunta,Dotal Mixto,19,13,39,38,1354638.87,Variable,3260099.957,1010852.38,83533.20
Individual,Dotal Mixto,13,2,47,6,2984788.00,NA,2984788,1201828.13,177791.81
Individual,Dotal Mixto,26,26,24,6,2826629.00,NA,2826629,609791.58,37025.17
Ultimo Superviviente,Ordinario de Vida,88,0,19,18,556795.00,NA,0,1939.13,426.56
Individual,Dotal Mixto,15,0,47,7,3644508.29,Variable,7215877.13,2466746.67,1264092.59
Vida Conjunta,Dotal Mixto,43,12,16,21,2549606.00,NA,2549606,317278.26,29296.72
Vida Conjunta,Dotal Mixto,8,6,48,49,677699.00,NA,677699,316965.45,30961.21
Individual,Temporal,32,10,20,8,1907380.00,NA,0,22244.67,1818.80
Vida Conjunta,Temporal,22,2,37,35,138402.00,Variable,0,9267.80,4750.90
Individual,Dotal Mixto,36,31,19,2,1871887.00,NA,1871887,306887.26,18401.04
Vida Conjunta,Dotal Mixto,23,6,25,27,390167.00,NA,390167,103620.24,11941.79
Individual,Dotal Mixto,33,31,25,1,2551430.00,NA,2551430,506304.81,30798.87
Ultimo Superviviente,Ordinario de Vida,81,0,28,27,1148329.29,Variable,0,157103.98,42195.45
Individual,Dotal Mixto,31,26,21,3,1277208.40,Fijo,2943132.4,567170.85,35914.80
Vida Conjunta,Temporal,22,18,33,31,1917350.50,Variable,0,90805.57,6663.02
Vida Conjunta,Ordinario de Vida,63,0,42,43,851249.00,NA,0,148303.17,76038.75
Vida Conjunta,Dotal Mixto,27,1,22,20,2217362.00,NA,2217362,408681.01,50601.73
Vida Conjunta,Dotal Mixto,12,3,39,41,621801.00,NA,621801,276259.58,40945.96
Ultimo Superviviente,Dotal Mixto,43,13,20,23,942699.00,NA,942699,81779.63,6249.89
Ultimo Superviviente,Dotal Mixto,24,11,19,21,2160808.49,Variable,6636974.617,1865924.73,189181.83
Ultimo Superviviente,Dotal Mixto,22,14,29,33,1757186.55,Variable,4895455.993,1516800.61,133295.99
Individual,Ordinario de Vida,59,0,50,9,2229508.00,NA,0,294460.05,64915.53
Individual,Dotal Mixto,37,0,21,10,4438467.46,Variable,25706787.46,2595080.00,382970.57
Vida Conjunta,Dotal Mixto,24,5,30,36,2807797.56,Variable,8624216.902,2199982.86,296343.47
Ultimo Superviviente,Dotal Mixto,18,5,22,27,1778997.00,NA,1778997,670340.94,110332.05
Vida Conjunta,Dotal Mixto,40,1,17,22,561412.00,NA,561412,78610.02,21143.27
Ultimo Superviviente,Dotal Mixto,44,13,16,24,450509.00,NA,450509,47525.41,4360.75
Vida Conjunta,Dotal Mixto,7,0,30,30,745346.50,Variable,998835.5963,457578.10,100863.24
Vida Conjunta,Dotal Mixto,43,17,19,24,2820549.00,NA,2820549,389081.77,31975.78
Individual,Dotal Mixto,41,41,18,2,1374948.00,NA,1374948,180417.19,9888.89
Vida Conjunta,Dotal Mixto,14,5,28,30,812678.00,NA,812678,376405.98,62179.05
Individual,Dotal Mixto,14,3,48,8,2457995.00,NA,2457995,861406.61,99308.51
Vida Conjunta,Dotal Mixto,39,19,17,18,2192479.00,NA,2192479,360752.25,28669.64
Individual,Dotal Mixto,17,0,42,7,2973874.00,NA,2973874,944568.69,330603.17
Vida Conjunta,Dotal Mixto,17,2,24,25,2992590.00,NA,2992590,1146333.35,252690.74
Ultimo Superviviente,Dotal Mixto,23,11,22,29,366257.00,NA,366257,73154.84,5434.26
Vida Conjunta,Dotal Mixto,27,18,23,18,2107617.34,Variable,7493997.406,1651373.33,120638.66
Ultimo Superviviente,Temporal,19,2,34,31,381385.00,NA,0,5.02,0.58
Ultimo Superviviente,Temporal,19,10,42,49,302306.00,NA,0,26.78,2.88
Individual,Dotal Mixto,29,28,36,9,1881622.00,NA,1881622,315830.32,18233.45
Vida Conjunta,Dotal Mixto,20,1,38,36,1181245.00,NA,1181245,438660.31,224867.93
Individual,Dotal Mixto,29,20,22,3,852641.00,NA,852641,184108.56,13069.29
Vida Conjunta,Dotal Mixto,22,0,22,28,1564856.12,Variable,4359630.601,1226105.71,429241.96
Vida Conjunta,Dotal Mixto,42,19,18,24,2680731.00,NA,2680731,297028.26,19892.27
Vida Conjunta,Dotal Mixto,18,0,44,43,1251159.00,NA,1251159,357671.87,78930.86
Vida Conjunta,Dotal Mixto,31,8,23,27,2255037.00,NA,2255037,370630.17,32797.81
Individual,Dotal Mixto,20,3,26,1,711130.00,NA,711130,257944.87,69338.65
Individual,Dotal Mixto,19,2,26,9,1214900.00,NA,1214900,315556.62,36265.18
Ultimo Superviviente,Dotal Mixto,46,33,15,22,2901161.00,NA,2901161,264251.57,15211.21
Individual,Temporal,19,8,30,9,1809458.00,NA,0,20985.47,1780.06
Vida Conjunta,Temporal,39,30,17,20,261096.26,Variable,0,20254.30,1238.15
Individual,Ordinario de Vida,64,0,47,9,2408472.00,NA,0,280414.87,41459.28
Individual,Dotal Mixto,26,11,34,8,896490.00,NA,896490,178580.07,14150.35
Individual,Dotal Mixto,22,0,26,5,551225.00,NA,551225,150385.44,77046.53
Vida Conjunta,Temporal,32,3,28,26,1671891.00,NA,0,56781.24,12519.01
Individual,Dotal Mixto,16,6,35,8,1717633.00,NA,1717633,541403.49,52300.62
Vida Conjunta,Dotal Mixto,21,10,30,31,2520361.00,NA,2520361,736509.30,68138.29
Ultimo Superviviente,Dotal Mixto,8,0,44,42,2993498.00,NA,2993498,1305558.13,192381.65
Vida Conjunta,Dotal Mixto,13,0,23,19,480762.00,NA,480762,175169.89,47110.97
Individual,Dotal Mixto,43,33,21,1,493184.00,NA,493184,62731.52,3721.22
Vida Conjunta,Ordinario de Vida,91,1,14,18,1246224.00,NA,0,85539.37,85539.37
Ultimo Superviviente,Temporal,35,12,25,28,2841678.00,NA,0,88.46,8.51
Individual,Dotal Mixto,45,17,14,1,1849159.00,NA,1849159,211666.71,17307.66
Individual,Dotal Mixto,45,14,20,2,1591811.00,NA,1591811,177479.44,15651.89
Individual,Dotal Mixto,37,5,25,5,2122646.00,NA,2122646,293842.08,36323.49
Individual,Dotal Mixto,26,25,28,4,741329.97,Variable,2510406.403,580851.43,36839.15
Vida Conjunta,Temporal,9,2,54,53,1491256.00,NA,0,76407.34,10367.94
Individual,Dotal Mixto,16,0,27,9,1378628.15,Variable,2866068.918,846358.10,124923.95
Vida Conjunta,Ordinario de Vida,60,5,51,51,1535562.00,NA,0,358440.08,53455.97
Individual,Dotal Mixto,15,7,27,1,186012.00,NA,186012,85668.71,12649.70
Individual,Dotal Mixto,47,3,17,0,2080125.00,Variable,19624436.3,1981071.43,693155.00
Individual,Dotal Mixto,21,7,29,2,623811.04,Variable,1655156.394,538871.43,72380.18
Vida Conjunta,Temporal,20,7,38,37,1266269.44,Variable,0,70384.71,8134.29
Vida Conjunta,Temporal,45,27,15,22,2182591.69,Variable,0,257741.48,16423.43
Ultimo Superviviente,Temporal,43,14,20,23,122449.00,NA,0,3.39,0.25
Vida Conjunta,Temporal,24,23,33,28,2365981.00,NA,0,66312.56,4064.77
Vida Conjunta,Dotal Mixto,29,17,22,29,1797750.00,NA,1797750,367716.63,26895.65
Vida Conjunta,Temporal,15,0,25,23,1359425.00,NA,0,21690.62,21690.62
Ultimo Superviviente,Temporal,20,20,33,40,848715.00,NA,0,20.30,1.32
Vida Conjunta,Dotal Mixto,44,24,17,15,787681.00,NA,787681,89313.16,5772.82
Individual,Dotal Mixto,35,16,21,6,1967833.96,Variable,10337716.54,1398502.86,101655.12
Ultimo Superviviente,Dotal Mixto,21,15,35,37,2730749.00,NA,2730749,845753.03,68911.13
Vida Conjunta,Dotal Mixto,21,0,38,37,1462223.00,NA,1462223,345710.16,345710.16
Vida Conjunta,Dotal Mixto,41,34,22,23,2013602.79,Variable,14175740.92,1577710.48,90730.20
Vida Conjunta,Temporal,37,6,18,24,2366314.00,NA,0,70253.17,9449.67
Vida Conjunta,Dotal Mixto,26,0,26,26,669409.00,NA,669409,155735.13,79807.88
Vida Conjunta,Dotal Mixto,23,10,39,39,347646.00,NA,347646,79621.81,6355.84
Vida Conjunta,Dotal Mixto,13,0,29,30,3613720.93,Variable,6489723.6,2445908.57,856301.38
Vida Conjunta,Ordinario de Vida,80,2,27,26,242258.00,NA,0,19468.82,2879.01
Vida Conjunta,Temporal,21,17,26,31,436507.00,NA,0,10527.35,813.82
Vida Conjunta,Dotal Mixto,21,20,32,36,1268072.00,NA,1268072,372938.97,25638.18
Vida Conjunta,Ordinario de Vida,89,0,20,17,3156916.80,Fijo,0,547590.44,280602.47
Ultimo Superviviente,Dotal Mixto,29,11,28,32,445901.00,NA,445901,84708.65,7444.09
Individual,Dotal Mixto,45,1,17,4,116303.00,NA,116303,11727.11,2581.98
Individual,Dotal Mixto,19,1,43,6,362183.63,Variable,871638.0865,257397.14,42480.42
Individual,Dotal Mixto,17,13,19,0,412749.00,NA,412749,180985.80,18403.27
Vida Conjunta,Dotal Mixto,12,12,43,43,2752916.00,NA,2752916,1067120.17,82981.64
Vida Conjunta,Dotal Mixto,41,1,18,15,448048.65,Variable,3154257.438,406393.33,208249.88
Vida Conjunta,Dotal Mixto,43,30,22,20,103105.00,NA,103105,11960.24,706.45
Ultimo Superviviente,Temporal,29,5,20,21,101284.00,NA,0,0.97,0.13
Vida Conjunta,Dotal Mixto,37,1,23,23,1600894.00,NA,1600894,214980.73,31780.84
Vida Conjunta,Temporal,40,14,19,25,984118.00,NA,0,29555.81,2106.40
Vida Conjunta,Ordinario de Vida,75,2,31,36,1267769.00,NA,0,151215.13,33355.20
Individual,Temporal,31,26,18,3,1250762.00,NA,0,13921.62,881.07
Vida Conjunta,Ordinario de Vida,67,7,36,42,913586.00,NA,0,141422.96,19091.87
Individual,Ordinario de Vida,69,9,40,1,925319.85,Fijo,0,305714.33,37881.02
Vida Conjunta,Temporal,21,15,33,34,2512746.34,Variable,0,126409.35,10808.16
Vida Conjunta,Temporal,38,21,17,15,2618447.00,NA,0,66672.96,4997.51
Individual,Dotal Mixto,35,17,23,4,2321086.98,Variable,12193477.56,1818632.38,135752.05
Individual,Dotal Mixto,14,13,38,2,2453861.81,Variable,4627122.422,2119738.10,195755.52
Vida Conjunta,Dotal Mixto,33,8,17,19,995006.00,NA,995006,201713.58,27129.45
Individual,Dotal Mixto,38,13,21,3,1860722.00,NA,1860722,267594.15,23599.10
Vida Conjunta,Dotal Mixto,14,0,28,30,532446.00,Fijo,763172.6,238499.30,39370.45
Vida Conjunta,Dotal Mixto,17,13,41,49,543136.00,NA,543136,223778.99,20948.29
Vida Conjunta,Dotal Mixto,31,7,24,24,1636315.07,Variable,7072059.419,1413510.48,190195.37
Vida Conjunta,Dotal Mixto,26,10,21,26,1459502.34,Variable,4942392.974,1200736.19,122484.41
Individual,Temporal,22,9,25,2,152063.00,NA,0,1644.93,189.11
Ultimo Superviviente,Temporal,15,15,40,47,1600399.00,NA,0,63.54,5.18
Individual,Ordinario de Vida,70,0,36,10,3073639.46,Variable,0,1797093.33,1797093.33
Vida Conjunta,Dotal Mixto,39,33,22,23,2606494.00,NA,2606494,285626.09,15774.15
Vida Conjunta,Dotal Mixto,43,40,14,14,1120209.46,Variable,8694603.784,967679.05,53781.33
Ultimo Superviviente,Temporal,16,0,43,45,750413.00,NA,0,29.47,29.47
Individual,Temporal,30,17,32,7,1432156.00,NA,0,27450.04,1907.70
Vida Conjunta,Dotal Mixto,22,8,30,35,2792155.00,NA,2792155,653387.06,55690.79
Vida Conjunta,Dotal Mixto,28,23,29,32,1103287.00,NA,1103287,199713.11,12240.57
Ultimo Superviviente,Dotal Mixto,19,7,20,28,2400956.00,NA,2400956,642869.69,58987.16
Individual,Dotal Mixto,21,0,22,9,675760.12,Variable,1792992.781,414858.10,77928.63
Individual,Dotal Mixto,44,31,16,3,2504580.00,NA,2504580,274705.21,16268.17
Vida Conjunta,Dotal Mixto,15,2,47,49,2364824.00,NA,2364824,813757.04,101352.95
Individual,Dotal Mixto,43,24,17,3,1949548.00,NA,1949548,223721.04,14632.07
Vida Conjunta,Temporal,40,16,20,21,1349686.00,NA,0,44266.28,3919.61
Ultimo Superviviente,Dotal Mixto,43,38,22,27,1978472.00,NA,1978472,218569.77,12134.83
Vida Conjunta,Dotal Mixto,27,10,36,35,1948079.13,Variable,6926731.767,1602689.52,163996.36
Ultimo Superviviente,Dotal Mixto,17,12,38,41,2676737.00,NA,2676737,1007943.55,92489.95
Ultimo Superviviente,Dotal Mixto,43,43,15,18,3041234.70,Fijo,9123704.1,1063388.80,57350.09
Individual,Dotal Mixto,30,5,32,7,674273.70,Fijo,1398493.6,235251.92,25358.67
Individual,Temporal,17,15,42,6,377959.23,Variable,0,10448.99,783.81
Vida Conjunta,Dotal Mixto,38,18,23,27,2752664.00,NA,2752664,360253.72,24623.87
Vida Conjunta,Temporal,28,6,32,34,342734.00,NA,0,12949.57,1400.93
Vida Conjunta,Dotal Mixto,44,44,20,17,1357995.00,NA,1357995,162783.15,8807.31
Vida Conjunta,Temporal,35,5,18,23,1703989.00,NA,0,47935.55,9016.89
Vida Conjunta,Dotal Mixto,16,3,34,32,1788640.80,Fijo,2906541.3,1102366.04,182148.18
Vida Conjunta,Temporal,28,18,27,31,879675.00,NA,0,28036.51,2054.09
Ultimo Superviviente,Dotal Mixto,43,24,17,23,3458353.52,Variable,26842313.65,2698081.24,172489.12
Individual,Dotal Mixto,14,13,25,2,509022.00,NA,509022,234314.47,21581.49
Individual,Dotal Mixto,19,0,32,8,438199.99,Variable,1054580.518,282467.62,75928.93
Vida Conjunta,Dotal Mixto,13,9,18,26,681088.00,NA,681088,314742.51,34004.68
Individual,Dotal Mixto,12,3,36,10,735421.49,Variable,1257820.32,429985.71,43751.10
Ultimo Superviviente,Dotal Mixto,9,9,50,51,1245162.00,NA,1245162,569846.68,50085.50
Ultimo Superviviente,Dotal Mixto,34,8,24,21,1273144.46,Variable,6369781.787,860144.49,78923.38
Vida Conjunta,Dotal Mixto,32,19,23,21,1748676.00,NA,1748676,326259.66,23277.85
Vida Conjunta,Temporal,31,5,16,24,170202.00,NA,0,4051.03,501.70
Vida Conjunta,Temporal,13,2,22,21,1719214.00,NA,0,24587.77,2831.35
Ultimo Superviviente,Dotal Mixto,41,12,19,16,1314954.00,NA,1314954,132416.80,10788.55
Vida Conjunta,Dotal Mixto,38,16,27,24,982851.00,NA,982851,118537.34,8098.30
Individual,Dotal Mixto,36,26,23,1,1984854.00,NA,1984854,343288.40,22485.53
Vida Conjunta,Dotal Mixto,29,12,22,23,2213208.60,Variable,8676063.541,1358718.10,101794.17
Vida Conjunta,Dotal Mixto,33,0,23,33,2744501.00,NA,2744501,405687.56,59989.67
Ultimo Superviviente,Dotal Mixto,41,37,20,23,2034317.00,NA,2034317,261154.21,14748.05
Individual,Dotal Mixto,35,8,19,1,2076711.00,NA,2076711,373110.02,50089.10
Vida Conjunta,Dotal Mixto,36,2,24,31,2575459.00,NA,2575459,438253.73,96624.90
Individual,Dotal Mixto,37,34,22,4,1105996.00,NA,1105996,159055.50,9062.14
Individual,Dotal Mixto,12,9,31,7,1354549.00,NA,1354549,540209.73,47672.34
Vida Conjunta,Dotal Mixto,30,22,27,25,2786918.00,NA,2786918,478498.49,30058.57
Vida Conjunta,Dotal Mixto,28,24,21,27,1202633.00,NA,1202633,255734.12,16311.46
Individual,Temporal,28,15,32,1,1673379.00,NA,0,33068.13,2921.95
Ultimo Superviviente,Dotal Mixto,41,30,20,17,2616687.45,Variable,18421450.09,2146999.05,127788.91
Vida Conjunta,Temporal,26,24,24,22,787118.00,NA,0,17508.37,1083.94
Individual,Temporal,38,9,20,4,2249011.00,NA,0,32234.64,3277.12
Individual,Temporal,30,30,29,1,2949506.70,Variable,0,118860.82,7337.99
Individual,Dotal Mixto,32,3,33,7,2006500.00,NA,2006500,321704.36,39784.12
Vida Conjunta,Dotal Mixto,23,5,34,35,2414285.00,NA,2414285,681984.34,91887.01
Vida Conjunta,Dotal Mixto,41,5,22,21,2989221.48,Variable,21044085.48,2582201.91,426271.58
Vida Conjunta,Dotal Mixto,31,22,19,18,1698469.00,NA,1698469,375935.71,26818.15
Individual,Dotal Mixto,29,28,14,3,632876.00,NA,632876,135894.00,8349.93
Vida Conjunta,Dotal Mixto,15,6,17,23,676992.33,Variable,1340398.507,584811.43,86466.43
